STT,Tên đầy đủ,Mã chứng khoán,Sàn niêm yết
289,CTCP Xây lắp Thừa Thiên Huế,HUB,HOSE
290,CÔNG TY CỔ PHẦN DỊCH VỤ NÔNG NGHIỆP BÌNH THUẬN,ABS,HOSE
291,Công ty Cổ phần Cao su Thống Nhất,TNC,HOSE
292,Tổng CTCP Đầu tư phát triển xây dựng,DIG,HOSE
293,Công Ty Cổ Phần Bất động sản và Đầu tư VRC,VRC,HOSE
294,Tổng công ty Khí Việt Nam - CTCP,GAS,HOSE
295,CTCP Phát triển nhà Bà Rịa - Vũng Tàu,HDC,HOSE
296,CTCP Cao su Hòa Bình,HRC,HOSE
297,CTCP Xây dựng DIC Holdings,DC4,HOSE
298,CTCP Nhiệt điện Bà Rịa,BTP,HOSE
299,Công ty Cổ phần Du lịch Thành Thành Công,VNG,HOSE
300,CTCP CNG Việt Nam,CNG,HOSE
301,Công ty cổ phần Sản xuất và Đầu tư Hoàng Gia,RYG,HOSE
302,Tổng Công ty Phát điện 3 - Công ty cổ phần,PGV,HOSE
303,CTCP Dây và Cáp điện Taya Việt Nam,TYA,HOSE
304,Công ty CP SAM Holdings,SAM,HOSE
305,CTCP Công nghiệp Gốm sứ Taicera,TCR,HOSE
306,CÔNG TY CỔ PHẦN MIỀN ĐÔNG,MDG,HOSE
307,Công ty CP Phát triển Đô thị Công nghiệp Số 2,D2D,HOSE
308,CTCP Vinacafe Biên Hòa,VCF,HOSE
309,CTCP Cảng Đồng Nai,PDN,HOSE
310,CÔNG TY CỔ PHẦN BIBICA,BBC,HOSE
311,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN CƯỜNG THUẬN IDICO,CTI,HOSE
312,Công ty cổ phần Hóa An,DHA,HOSE
313,CTCP Đầu tư phát triển nhà và đô thị IDICO,UIC,HOSE
314,CTCP Tập đoàn Thép Tiến Lên,TLH,HOSE
315,Công ty Cổ phần Bao Bì Biên Hòa,SVI,HOSE
316,CTCP Sonadezi long thành,SZL,HOSE
317,CTCP Điện Lực Dầu Khí Nhơn Trạch 2,NT2,HOSE
318,CTCP Sonadezi Châu Đức,SZC,HOSE
319,CÔNG TY CỔ PHẦN THÉP VICASA - VNSTEEL,VCA,HOSE
320,CTCP Phát triển khu công nghiệp Tín Nghĩa,TIP,HOSE
321,CTCP ICD Tân cảng - Long Bình,ILB,HOSE
322,CTCP Đầu tư LDG,LDG,HOSE
323,CTCP Dịch vụ Bất động sản Đất Xanh,DXS,HOSE
324,Tổng công ty đầu tư và phát triển công nghiệp - CTCP,BCM,HOSE
325,Công ty cổ phần nước - môi trường bình dương,BWE,HOSE
326,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG 3-2,C32,HOSE
327,Công ty cổ phần cao su Phước Hòa,PHR,HOSE
328,Công Ty CP Khoáng sản và Xây dựng Bình Dương,KSB,HOSE
329,CTCP Đại Thiên Lộc,DTL,HOSE
330,CTCP Tập đoàn Hoa Sen,HSG,HOSE
331,CTCP Mirae,KMR,HOSE
332,CTCP Chế biến gỗ Thuận An,GTA,HOSE
333,CTCP Xây Dựng & Giao Thông Bình Dương,BCE,HOSE
334,CTCP Kinh doanh và Phát triển Bình Dương,TDC,HOSE
335,CTCP Thép Nam Kim,NKG,HOSE
336,Công ty Cổ phần Tập đoàn kỹ nghệ gỗ Trường Thành,TTF,HOSE
337,CTCP Gỗ An Cường,ACG,HOSE
338,CTCP Đá Núi Nhỏ,NNC,HOSE
339,CTCP Phát triển hạ tầng kỹ thuật,IJC,HOSE
340,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,ACC,HOSE
341,CTCP Nước Thủ Dầu Một,TDM,HOSE
342,Công ty Cổ phần Cao su Đồng Phú,DPR,HOSE
343,CTCP Thủy điện Thác Mơ,TMP,HOSE
344,CTCP Thủy điện Cần Đơn,SJD,HOSE
345,CTCP Cao su Tây Ninh,TRC,HOSE
